api,bottom,fluid_bbl,fluid_bbl_per_ft,fluid_gal,fluid_gal_per_ft,ft_per_stage,lateral_length,max_treat_press,max_treat_rate,propp_lbs,propp_lbs_per_ft,stages,top,interval,cum_oil_365,file_no,TD,Section,Latitude,Longitude,CTB,Well_Status_Date_year,Well_Status_Date_month,Well_Status_Date_day,treatment_date_year,treatment_date_month,treatment_date_day,Spud_Date_year,Spud_Date_month,Spud_Date_day,Well_Status_encod,Wellbore_encod,Range_encod,Township_encod,Current_Operator_encod,Original_Operator_encod,Lease_Name_encod,Lease_Number_encod,County_Name_encod,QQ_encod,Field_Name_encod,Produced_Pools_BAKKEN,Produced_Pools_BAKKEN/THREE FORKS,Produced_Pools_BIRDBEAR,Produced_Pools_DUPEROW,"Produced_Pools_DUPEROW,MADISON",Produced_Pools_LODGEPOLE,Produced_Pools_MADISON,"Produced_Pools_MADISON,TYLER",Produced_Pools_ORDOVICIAN,Produced_Pools_RED RIVER,Produced_Pools_SANISH,Produced_Pools_SPEARFISH,Produced_Pools_SPEARFISH/MADISON,Produced_Pools_THREE FORKS,Produced_Pools_TYLER
33061017120000,20120,30133,3,1265586,132,9555,9555,10578,0.0,2098540,219,1,10565,9555,116063.0,20613,20120.0,3,48.00957215633283,-102.44875866080395,220613.0,2011,8,10,2011,8,9,2011,6,7,0,1,92,152,54,93,1680,961,9,44,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061017130000,19332,41988,4,1763496,194,9078,9078,6860,23.6,3979228,438,1,10254,9078,146112.0,20622,19770.0,9,47.90623850289939,-102.20453771165924,120622.0,2011,12,21,2011,12,21,2011,7,31,0,1,90,151,18,29,1052,3450,9,38,223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061017140000,19875,31716,3,1332072,141,312,9389,8090,41.2,2042580,217,30,10486,9389,68428.0,20627,19875.0,12,48.17699179160971,-102.45921831998962,218082.0,2012,4,14,2012,4,10,2011,11,28,0,1,92,154,54,93,1787,665,9,42,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061017160000,13480,24012,6,1008504,264,3814,3814,5713,31.8,1872400,490,1,9666,3814,65680.0,20634,13620.0,8,48.355445679034965,-102.26945291205328,120634.0,2011,6,11,2011,6,9,2011,5,2,0,1,90,156,24,42,2136,1943,9,25,253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061017200000,20110,34396,3,1444632,158,9135,9135,7274,0.0,1995429,218,1,10975,9135,152507.0,20651,20110.0,20,48.140204412986535,-102.66916302660307,219074.0,2012,2,28,2012,2,16,2011,4,1,0,1,93,154,22,40,962,3928,9,38,250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061017210000,17191,32408,4,1361136,204,6655,6655,6680,25.8,2994951,450,1,10536,6655,45209.0,20653,17674.0,33,47.85333054342304,-102.19544605313423,120653.0,2011,9,20,2011,9,10,2011,6,18,0,1,90,151,18,29,1052,3251,9,27,223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061017220000,14900,27900,6,1171800,266,4392,4392,9000,0.0,1743418,396,1,10508,4392,121697.0,20667,14900.0,5,48.196296059419076,-102.53372788803604,120667.0,2011,11,7,2011,11,4,2011,4,23,0,1,92,154,45,77,1937,2095,9,12,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061017250000,14900,28031,6,1177302,277,223,4240,8150,35.8,2069506,488,19,10660,4240,77881.0,20671,14900.0,6,48.18327926451037,-102.56607267794779,120671.0,2011,12,19,2011,12,18,2011,5,29,0,1,92,154,45,77,1937,2103,9,17,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061017260000,20148,23782,2,998844,105,9501,9501,8881,0.0,1411060,148,1,10647,9501,88128.0,20677,20148.0,7,48.002539222606586,-102.51219445512241,217337.0,2011,9,14,2011,9,13,2011,6,12,0,1,92,152,54,93,379,721,9,12,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061017290000,20365,57155,5,2400510,238,239,10059,7390,24.4,4246618,422,42,10306,10059,139598.0,20691,20621.0,30,47.86320797679022,-102.24605409842803,120691.0,2012,5,16,2012,5,16,2012,1,16,0,1,90,151,18,29,1052,3452,9,43,223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061017300000,16155,33500,5,1407000,245,5720,5720,7265,0.0,1531219,267,1,10435,5720,26255.0,20696,16155.0,18,48.33983014055175,-102.56711631896565,216011.0,2011,11,27,2011,10,30,2011,8,1,0,1,92,156,22,40,925,846,9,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061017310000,13970,22167,6,931014,254,3662,3662,5735,33.2,1496479,408,1,10308,3662,77527.0,20699,14065.0,22,48.15238261983222,-102.24462365322128,217379.0,2011,8,19,2011,8,6,2011,6,11,0,1,90,154,24,42,1571,1943,9,31,223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061017320000,18936,72770,7,3056340,322,9465,9465,6958,41.8,3792460,400,1,9471,9465,80964.0,20709,19205.0,28,48.474922999958295,-102.43456474618247,120709.0,2011,10,24,2011,10,9,2011,8,14,0,1,91,158,48,11,973,421,9,37,168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061017330000,14556,22829,5,958818,236,4061,4061,6490,32.0,1662636,409,1,10495,4061,60847.0,20721,14594.0,22,47.89010037595292,-102.44460525941672,120721.0,2011,12,7,2011,12,2,2011,7,6,0,1,92,151,46,78,2095,2020,9,31,320,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33061017340000,18950,36458,4,1531236,178,8569,8569,6565,23.3,2691578,314,1,10381,8569,68712.0,20742,19170.0,28,47.86649883479146,-102.19504301535255,120742.0,2011,9,2,2011,9,1,2011,5,30,0,1,90,151,18,29,1052,3326,9,27,223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
