api,cum_gor_180,cum_gor_30,cum_gor_365,cum_gor_545,cum_gor_730,cum_gor_90,cum_oil_180,cum_oil_30,cum_oil_365,cum_oil_545,cum_oil_730,cum_oil_90,cum_water_180,cum_water_30,cum_water_365,cum_water_545,cum_water_730,cum_water_90,cum_wc_180,cum_wc_30,cum_wc_365,cum_wc_545,cum_wc_730,cum_wc_90
33023003930000,971.352,1319.185,871.339,895.011,,917.081,1021.0,310.0,1912.0,2836.0,,805.0,18.0,4.0,672.0,1901.0,,12.0,1.732,1.274,26.006,40.131,,1.469
33023004060000,,,,,,,,0.0,,,,,,11708.0,,,,,,100.0,,,,
33023004120000,5890.994,2710.861,5306.606,4872.819,4694.094,7078.471,2508.0,654.0,5202.0,7130.0,9044.0,1491.0,3776.0,836.0,6568.0,8753.0,11357.0,1996.0,60.089,56.107,55.803,55.109,55.669,57.241
33023004150000,,,,,,,,,,,,,,,,,,,,,,,,
33023004210000,6322.54,6240.34,6597.555,6236.788,6732.383,6826.228,3317.0,455.0,5982.0,8133.0,11841.0,1337.0,1205.0,133.0,2763.0,4056.0,5853.0,556.0,26.648,22.619,31.595,33.276,33.079,29.371
33023004830000,963.304,929.737,961.946,985.048,1085.735,933.354,6196.0,1044.0,12316.0,17986.0,23421.0,3301.0,37209.0,6199.0,78681.0,116344.0,154849.0,18672.0,85.725,85.586,86.465,86.611,86.862,84.977
33023004980000,879.779,619.064,1110.173,,,724.073,3771.0,822.0,7225.0,11340.0,17109.0,2075.0,4600.0,1119.0,35530.0,114454.0,192200.0,2606.0,54.952,57.651,83.101,90.985,91.826,55.672
33023005040000,697.412,511.077,782.453,836.644,805.255,756.38,30964.0,7177.0,46010.0,58146.0,68844.0,20017.0,35674.0,18153.0,49082.0,60365.0,70806.0,26982.0,53.534,71.666,51.615,50.936,50.702,57.41
33023005150000,1048.369,1055.494,1093.783,1141.51,1137.722,982.677,30502.0,6672.0,46218.0,57362.0,67779.0,19806.0,16005.0,8729.0,20054.0,23124.0,25730.0,12938.0,34.414,56.678,30.26,28.73,27.516,39.513
33023005230000,786.669,799.285,786.337,777.535,725.597,776.117,12422.0,2183.0,22340.0,30636.0,37994.0,6490.0,10238.0,1822.0,18316.0,25133.0,31448.0,5350.0,45.181,45.493,45.051,45.066,45.287,45.186
33023005320000,1567.73,5583.957,1432.173,1447.659,1472.974,1493.326,13469.0,448.0,22224.0,29728.0,35366.0,5469.0,30545.0,1266.0,51673.0,69931.0,84460.0,11356.0,69.398,73.862,69.926,70.17,70.486,67.495
33023005360000,856.651,1046.985,821.631,932.341,983.517,971.321,38779.0,8109.0,66401.0,89922.0,106980.0,24631.0,33509.0,16714.0,46659.0,58560.0,66591.0,27838.0,46.355,67.333,41.269,39.439,38.365,53.056
33023005390000,869.048,547.243,955.401,1021.087,1048.017,563.39,36679.0,9163.0,53477.0,65933.0,77735.0,22808.0,44776.0,18855.0,58744.0,68510.0,76637.0,31805.0,54.97,67.296,52.347,50.958,49.644,58.237
33023005400000,1133.736,667.694,1230.634,1248.073,1259.292,1161.861,30331.0,3950.0,45615.0,56413.0,65294.0,16938.0,38837.0,12226.0,51869.0,59940.0,65774.0,26541.0,56.149,75.581,53.208,51.516,50.183,61.043
33023005410000,1161.726,1680.819,1174.453,1178.808,1174.694,1061.379,18133.0,2532.0,28055.0,36060.0,41762.0,10818.0,32667.0,9841.0,45507.0,54526.0,59953.0,19360.0,64.305,79.536,61.862,60.193,58.942,64.153
33023005420000,,,,,,,3615.0,159.0,7919.0,10607.0,11687.0,1836.0,11402.0,1663.0,23470.0,32239.0,39722.0,6068.0,75.927,91.273,74.771,75.244,77.267,76.771
33023005440000,775.664,1010.48,716.557,829.489,1046.735,765.547,35698.0,1704.0,59964.0,76652.0,91111.0,16007.0,55415.0,18628.0,80871.0,101483.0,124509.0,36759.0,60.82,91.619,57.423,56.97,57.745,69.664
33023005450000,1290.243,1047.84,1370.106,1338.916,1410.659,1007.498,47255.0,13612.0,66205.0,80632.0,94111.0,31869.0,44890.0,22085.0,57667.0,65292.0,73908.0,33398.0,48.717,61.868,46.554,44.744,43.988,51.171
33023005460000,951.085,641.784,1033.322,1187.294,1280.337,784.322,33191.0,8389.0,48883.0,59392.0,67004.0,20462.0,49177.0,22820.0,63707.0,75898.0,85361.0,36341.0,59.704,73.12,56.583,56.1,56.024,63.977
33023005470000,1050.46,839.701,1264.003,1229.762,1207.746,949.242,50012.0,14713.0,72632.0,89165.0,99497.0,32791.0,35269.0,18192.0,45942.0,53149.0,57721.0,27855.0,41.356,55.286,38.745,37.346,36.714,45.93
33023005490000,844.868,991.937,1027.689,1172.855,1261.524,869.127,28408.0,4837.0,52875.0,64983.0,74565.0,15834.0,63083.0,24192.0,97371.0,122138.0,144323.0,43254.0,68.95,83.337,64.808,65.272,65.935,73.203
33023005510000,1141.803,935.926,1136.984,1151.586,1128.241,1082.905,51233.0,10933.0,74223.0,91099.0,109763.0,31292.0,46952.0,21909.0,60642.0,69943.0,79487.0,34746.0,47.82,66.71,44.965,43.432,42.001,52.615
33023005520000,822.64,912.608,843.718,969.801,1020.186,837.263,24231.0,1737.0,38879.0,51844.0,61973.0,11128.0,16791.0,1126.0,25780.0,34337.0,41786.0,9056.0,40.932,39.329,39.871,39.843,40.272,44.867
33023005530000,1004.039,588.572,1252.931,1312.233,,776.621,18387.0,4035.0,27477.0,33882.0,40284.0,10247.0,48071.0,18941.0,70464.0,86907.0,107785.0,31927.0,72.333,82.438,71.945,71.949,72.794,75.703
